interval_begin,interval_end,id,density,speed,departed,arrived,entered
0.0,1800.00,1220036801,0.53,13.02,0,0,12
0.0,1800.00,1220036802,0.41,13.60,6,0,4
0.0,1800.00,1220036901,1.25,13.26,0,0,29
0.0,1800.00,1220036902,0.54,15.86,0,0,15
0.0,1800.00,1220046900,0.34,8.57,0,0,5
0.0,1800.00,1220049700,0.07,7.85,0,0,1
0.0,1800.00,1220049800,0.29,7.88,0,1,4
0.0,1800.00,1220050101,0.33,8.68,0,5,5
0.0,1800.00,1220036500,0.37,7.66,0,0,5
0.0,1800.00,1220060100,0.29,15.57,0,8,8
0.0,1800.00,1220060801,1.96,2.02,0,6,7
0.0,1800.00,1220060802,1.59,2.11,5,1,2
0.0,1800.00,1220066500,1.10,7.27,4,0,10
0.0,1800.00,1220066600,0.15,3.92,0,0,1
0.0,1800.00,1220067000,0.08,7.13,0,0,1
0.0,1800.00,1220067100,0.50,7.06,0,0,6
0.0,1800.00,1220067200,0.50,7.06,0,0,6
0.0,1800.00,1220067300,0.08,6.98,0,1,1
0.0,1800.00,1220067700,0.87,6.44,9,1,1
0.0,1800.00,1220067800,0.26,6.76,0,2,3
0.0,1800.00,1220067900,0.68,6.88,0,0,8
0.0,1800.00,1220068000,0.35,6.69,0,2,4
0.0,1800.00,1220066400,0.47,7.10,6,0,0
0.0,1800.00,1220068100,0.22,7.84,0,3,3
0.0,1800.00,1220068300,1.88,7.72,18,5,8
0.0,1800.00,1220068400,0.33,7.87,0,3,4
0.0,1800.00,1220068600,0.16,7.31,0,0,2
0.0,1800.00,1220068700,0.15,7.53,0,2,2
0.0,1800.00,1220069201,1.45,7.65,0,0,18
0.0,1800.00,1220069202,2.66,5.23,0,0,23
0.0,1800.00,1220069301,0.30,7.97,0,4,4
0.0,1800.00,1220069302,0.09,6.00,1,0,0
0.0,1800.00,1220069500,0.29,7.96,0,0,4
0.0,1800.00,1220069700,0.54,8.00,0,0,8
0.0,1800.00,1220068200,0.95,7.79,0,0,13
0.0,1800.00,1220066200,0.42,6.85,0,0,5
0.0,1800.00,1220066100,0.89,6.42,0,0,10
0.0,1800.00,1220066000,0.14,8.01,0,2,2
0.0,1800.00,1220061100,0.32,15.73,0,0,9
0.0,1800.00,1220061200,0.51,8.87,0,3,8
0.0,1800.00,1220061300,0.46,7.44,0,0,6
0.0,1800.00,1220061400,0.82,7.57,0,6,11
0.0,1800.00,1220061500,0.33,15.78,0,0,9
0.0,1800.00,1220061600,0.51,14.66,2,5,11
0.0,1800.00,1220062002,0.08,7.63,0,0,1
0.0,1800.00,1220062300,0.41,15.12,3,0,8
0.0,1800.00,1220062400,0.32,15.16,0,0,9
0.0,1800.00,1220062600,1.84,2.07,7,0,0
0.0,1800.00,1220063000,0.21,8.33,0,1,3
0.0,1800.00,1220063300,2.10,1.37,0,0,5
0.0,1800.00,1220063400,0.48,9.71,0,0,8
0.0,1800.00,1220063900,0.40,7.28,0,5,5
0.0,1800.00,1220064000,0.16,7.50,0,0,2
0.0,1800.00,1220064100,0.26,13.43,0,0,6
0.0,1800.00,1220064300,0.44,2.53,0,2,2
0.0,1800.00,1220064600,0.21,2.61,0,1,1
0.0,1800.00,1220064700,0.15,7.98,0,0,2
0.0,1800.00,1220064900,1.58,2.11,6,0,0
0.0,1800.00,1220065100,0.16,6.99,0,0,2
0.0,1800.00,1220065200,0.31,7.23,4,0,0
0.0,1800.00,1220065900,0.56,6.37,0,5,7
0.0,1800.00,1220036201,1.03,12.94,0,0,23
0.0,1800.00,1220069900,0.07,7.67,0,1,1
0.0,1800.00,1220036104,1.82,8.63,0,0,27
0.0,1800.00,1220036102,1.36,12.85,0,0,30
0.0,1800.00,1220033603,0.83,13.04,0,0,19
0.0,1800.00,1220033701,0.59,12.45,4,0,9
0.0,1800.00,1220033702,0.43,13.18,0,0,10
0.0,1800.00,1220034001,2.37,11.19,0,0,46
0.0,1800.00,1220034002,1.77,12.85,12,0,29
0.0,1800.00,1220034101,1.95,13.03,0,0,44
0.0,1800.00,1220034102,2.06,11.95,0,0,44
0.0,1800.00,1220034202,1.28,12.79,6,2,23
0.0,1800.00,1220034203,0.90,13.43,0,0,21
0.0,1800.00,1220034204,1.04,12.64,3,0,20
0.0,1800.00,1220033602,0.90,12.90,0,0,23
0.0,1800.00,1220034302,1.42,12.68,0,0,32
0.0,1800.00,1220034304,1.70,12.79,0,0,38
0.0,1800.00,1220034402,1.31,11.08,0,4,25
0.0,1800.00,1220034404,0.44,12.43,0,0,9
0.0,1800.00,1220034405,0.62,11.89,0,0,13
0.0,1800.00,1220034406,0.73,14.49,0,0,18
0.0,1800.00,1220034407,0.74,13.69,0,0,18
0.0,1800.00,1220034502,0.59,11.87,0,0,12
0.0,1800.00,1220034504,0.34,12.44,0,0,7
0.0,1800.00,1220034505,1.00,11.83,0,7,21
0.0,1800.00,1220034506,0.32,12.47,0,0,8
0.0,1800.00,1220034303,1.61,12.44,7,0,29
0.0,1800.00,1220034507,0.28,14.51,0,0,7
0.0,1800.00,1220033503,0.79,11.51,0,0,16
0.0,1800.00,1220033501,0.70,13.55,0,0,16
0.0,1800.00,1220032802,1.15,13.05,0,0,26
0.0,1800.00,1220032803,1.14,13.13,0,0,27
0.0,1800.00,1220032805,1.21,12.66,0,0,27
0.0,1800.00,1220032901,2.10,12.88,2,0,44
0.0,1800.00,1220032903,1.73,13.46,0,0,42
0.0,1800.00,1220032904,1.65,13.56,0,0,39
0.0,1800.00,1220032905,1.56,13.58,0,6,38
0.0,1800.00,1220033001,1.79,13.31,0,1,42
0.0,1800.00,1220033002,1.53,13.35,0,0,37
0.0,1800.00,1220033003,0.81,13.33,0,0,18
0.0,1800.00,1220033502,0.67,13.50,0,0,16
0.0,1800.00,1220033004,0.80,12.90,2,0,16
0.0,1800.00,1220033102,2.98,12.86,20,0,50
0.0,1800.00,1220033103,2.21,13.26,0,0,49
0.0,1800.00,1220033104,2.39,11.08,0,0,48
0.0,1800.00,1220033201,1.01,12.90,0,0,23
0.0,1800.00,1220033202,0.57,12.93,0,0,13
0.0,1800.00,1220033301,0.85,13.45,0,0,21
0.0,1800.00,1220033302,0.93,12.65,1,0,20
0.0,1800.00,1220033401,1.11,9.00,0,0,17
0.0,1800.00,1220033402,0.58,12.51,0,0,13
0.0,1800.00,1220033403,0.60,12.35,0,0,13
0.0,1800.00,1220033101,2.22,13.26,0,0,51
0.0,1800.00,1220034601,1.43,12.33,4,2,28
0.0,1800.00,1220034602,1.95,12.74,0,19,44
0.0,1800.00,1220034603,1.30,13.05,0,0,30
0.0,1800.00,1220035402,0.54,13.35,0,0,12
0.0,1800.00,1220035403,0.53,13.12,0,0,12
0.0,1800.00,1220035404,0.45,12.44,3,0,7
0.0,1800.00,1220035501,0.93,12.53,0,0,20
0.0,1800.00,1220035502,0.88,13.39,0,9,20
0.0,1800.00,1220035503,0.58,12.88,2,0,11
0.0,1800.00,1220035504,0.49,12.76,0,0,11
0.0,1800.00,1220035600,0.62,11.69,12,0,1
0.0,1800.00,1220035700,0.09,12.95,0,0,2
0.0,1800.00,1220035801,1.75,9.06,0,0,27
0.0,1800.00,1220035401,0.88,9.89,0,0,15
0.0,1800.00,1220035802,1.10,12.81,0,0,25
0.0,1800.00,1220035804,1.06,12.98,0,0,24
0.0,1800.00,1220035901,2.73,12.90,0,0,60
0.0,1800.00,1220035902,2.38,13.00,4,3,51
0.0,1800.00,1220035903,2.21,13.02,0,0,50
0.0,1800.00,1220035904,2.19,13.12,0,0,50
0.0,1800.00,1220036002,1.87,12.82,0,0,42
0.0,1800.00,1220036003,1.89,12.89,0,0,42
0.0,1800.00,1220036004,1.88,12.89,0,0,42
0.0,1800.00,1220036005,2.59,12.76,0,0,57
0.0,1800.00,1220036101,1.33,12.86,0,0,30
0.0,1800.00,1220035803,1.05,13.12,0,0,24
0.0,1800.00,1220035305,0.98,13.45,0,0,23
0.0,1800.00,1220035304,1.25,13.67,0,4,27
0.0,1800.00,1220035303,1.11,13.67,0,0,27
0.0,1800.00,1220034701,1.94,12.90,1,0,44
0.0,1800.00,1220034702,1.79,12.92,0,0,41
0.0,1800.00,1220034703,1.10,13.53,0,0,27
0.0,1800.00,1220034801,2.26,13.04,0,0,50
0.0,1800.00,1220034802,2.68,12.95,2,11,59
0.0,1800.00,1220034803,1.98,12.83,9,0,36
0.0,1800.00,1220034804,1.06,11.45,0,0,21
0.0,1800.00,1220034901,1.20,13.29,0,0,27
0.0,1800.00,1220034902,1.19,12.98,0,0,27
0.0,1800.00,1220034903,0.67,13.59,0,0,16
0.0,1800.00,1220035001,0.64,13.22,0,0,15
0.0,1800.00,1220035002,2.08,4.95,0,0,18
0.0,1800.00,1220035003,0.98,12.70,0,0,22
0.0,1800.00,1220035004,1.20,12.71,0,5,27
0.0,1800.00,1220035101,2.34,6.04,0,0,25
0.0,1800.00,1220035102,1.35,13.19,0,5,31
0.0,1800.00,1220035103,0.73,13.16,0,0,18
0.0,1800.00,1220035104,0.74,13.01,1,0,16
0.0,1800.00,1220035202,0.66,11.22,0,0,13
0.0,1800.00,1220035203,0.25,13.35,0,0,6
0.0,1800.00,1220035204,0.29,13.27,0,0,6
0.0,1800.00,1220035205,0.26,13.30,0,0,6
0.0,1800.00,1220035302,1.13,13.70,0,0,27
0.0,1800.00,1220036103,1.33,12.88,0,0,30
0.0,1800.00,1220032801,1.28,12.87,0,0,28
0.0,1800.00,1220070200,0.30,7.70,0,2,4
0.0,1800.00,1220070500,1.42,7.66,0,0,19
0.0,1800.00,1220097500,0.23,7.36,0,3,3
0.0,1800.00,1220097700,0.39,7.22,0,0,5
0.0,1800.00,1220098100,0.86,10.48,0,0,16
0.0,1800.00,1220098600,0.47,7.59,0,5,6
0.0,1800.00,1220098700,0.69,6.48,3,0,5
0.0,1800.00,1220099200,0.42,6.60,4,0,1
0.0,1800.00,1220099300,0.07,8.30,0,0,1
0.0,1800.00,1220099700,0.34,6.63,4,0,0
0.0,1800.00,1220100000,0.52,7.99,0,0,7
0.0,1800.00,1220100100,0.53,6.68,0,0,6
0.0,1800.00,1220097400,0.28,7.46,0,0,4
0.0,1800.00,1220100200,0.07,7.42,1,0,0
0.0,1800.00,1220101700,0.07,8.15,0,0,1
0.0,1800.00,1220101900,0.36,7.79,1,0,5
0.0,1800.00,1220102000,0.15,7.41,2,0,0
0.0,1800.00,1220102200,0.51,7.79,0,0,7
0.0,1800.00,1220102300,0.15,7.50,0,0,2
0.0,1800.00,1220102500,0.44,7.76,0,0,6
0.0,1800.00,1220103100,0.35,7.99,3,2,2
0.0,1800.00,1220103300,1.25,7.73,0,2,17
0.0,1800.00,1220103400,0.06,9.52,0,0,1
0.0,1800.00,1220103500,0.39,7.31,0,0,5
0.0,1800.00,1220100500,0.27,10.51,0,5,5
0.0,1800.00,1220103600,0.09,12.42,0,0,2
0.0,1800.00,1220097300,0.36,16.05,0,0,10
0.0,1800.00,1220097100,1.28,7.46,10,2,7
0.0,1800.00,1220091700,0.07,8.36,0,0,1
0.0,1800.00,1220092700,0.07,7.49,1,0,0
0.0,1800.00,1220093002,0.32,8.64,5,0,0
0.0,1800.00,1220093102,0.04,16.43,0,0,1
0.0,1800.00,1220093200,0.67,6.58,8,0,0
0.0,1800.00,1220093300,0.07,8.20,0,0,1
0.0,1800.00,1220093400,0.21,13.98,0,0,5
0.0,1800.00,1220093500,0.04,16.48,0,0,1
0.0,1800.00,1220093600,0.46,7.33,0,4,6
0.0,1800.00,1220093800,0.55,7.31,0,0,7
0.0,1800.00,1220097200,0.64,10.28,0,9,12
0.0,1800.00,1220094900,0.07,7.60,1,0,0
0.0,1800.00,1220095100,0.09,7.56,2,0,0
0.0,1800.00,1220095200,0.21,7.82,3,0,0
0.0,1800.00,1220095400,0.24,6.84,3,0,0
0.0,1800.00,1220095500,0.55,8.12,2,0,6
0.0,1800.00,1220095700,0.86,10.47,0,0,16
0.0,1800.00,1220095800,0.70,15.38,3,0,16
0.0,1800.00,1220095900,0.37,7.96,0,5,5
0.0,1800.00,1220096600,0.68,7.77,0,0,9
0.0,1800.00,1220096700,0.17,6.52,2,0,0
0.0,1800.00,1220097000,1.89,3.30,0,0,11
0.0,1800.00,1220095000,0.09,12.69,0,0,2
0.0,1800.00,1220103700,0.15,7.29,1,0,1
0.0,1800.00,1220104400,0.37,7.67,0,5,5
0.0,1800.00,1220104700,0.06,9.81,0,1,1
0.0,1800.00,1220323600,0.65,7.68,8,0,1
0.0,1800.00,1220323800,0.44,10.29,0,0,8
0.0,1800.00,1220329300,0.75,7.36,10,0,0
0.0,1800.00,1220329700,0.18,6.12,2,0,0
0.0,1800.00,1220330800,0.42,6.66,5,0,0
0.0,1800.00,1220331000,0.20,8.63,0,0,3
0.0,1800.00,1220332700,0.25,7.12,0,0,3
0.0,1800.00,1220332800,0.48,7.11,3,0,3
0.0,1800.00,1220333400,0.07,8.73,0,0,1
0.0,1800.00,1220333500,1.58,7.20,11,1,9
0.0,1800.00,1220323500,0.52,9.08,0,0,8
0.0,1800.00,1220333900,0.87,9.14,0,14,14
0.0,1800.00,1220334200,1.88,9.03,0,0,29
0.0,1800.00,1220341900,0.92,12.78,0,0,24
0.0,1800.00,1220342000,0.12,15.22,0,0,3
0.0,1800.00,1220342600,0.12,18.66,2,0,2
0.0,1800.00,1220342800,0.72,20.50,0,0,26
0.0,1800.00,1220342900,0.13,16.71,2,2,2
0.0,1800.00,1220343000,0.69,21.14,0,0,26
0.0,1800.00,1220345701,0.55,10.15,2,0,8
0.0,1800.00,1220345801,0.47,18.00,0,0,15
0.0,1800.00,1220345901,0.68,19.19,8,0,16
0.0,1800.00,1220334100,0.82,10.61,0,15,15
0.0,1800.00,1220323300,0.22,7.68,0,2,3
0.0,1800.00,1220323100,0.08,7.19,1,0,0
0.0,1800.00,1220323000,0.78,7.18,8,2,2
0.0,1800.00,1220105000,0.44,7.68,0,0,6
0.0,1800.00,1220105200,0.41,6.79,5,0,0
0.0,1800.00,1220105400,0.09,12.56,0,0,2
0.0,1800.00,1220105900,0.65,10.73,0,0,13
0.0,1800.00,1220106300,1.08,7.91,0,0,15
0.0,1800.00,1220106400,0.61,10.77,0,0,12
0.0,1800.00,1220106700,0.11,10.30,0,2,2
0.0,1800.00,1220106800,0.37,7.86,0,5,6
0.0,1800.00,1220107000,0.10,11.33,0,0,2
0.0,1800.00,1220107400,1.06,8.03,0,15,15
0.0,1800.00,1220107500,0.77,10.46,0,3,15
0.0,1800.00,1220107700,0.33,10.18,0,2,6
0.0,1800.00,1220109500,0.08,7.36,0,1,1
0.0,1800.00,1220109800,0.63,7.07,8,0,0
0.0,1800.00,1220109900,0.20,7.27,0,2,3
0.0,1800.00,1220110100,0.14,8.23,0,2,2
0.0,1800.00,1220110300,0.08,6.84,1,0,0
0.0,1800.00,1220110600,0.30,22.01,0,11,12
0.0,1800.00,1220321900,0.08,7.44,0,0,1
0.0,1800.00,1220322000,0.28,8.00,1,3,3
0.0,1800.00,1220322500,2.26,2.53,0,3,10
0.0,1800.00,1220322600,0.22,7.72,0,0,3
0.0,1800.00,1220322700,0.08,6.81,0,0,1
0.0,1800.00,1220091000,0.24,7.58,0,0,3
0.0,1800.00,1220070300,0.16,7.24,0,0,2
0.0,1800.00,1220090100,1.47,9.90,0,0,26
0.0,1800.00,1220089600,0.48,6.94,6,0,0
0.0,1800.00,1220076100,0.51,6.66,0,4,6
0.0,1800.00,1220076200,0.25,2.22,0,1,1
0.0,1800.00,1220076400,0.14,7.94,0,2,2
0.0,1800.00,1220076600,0.57,11.20,0,0,12
0.0,1800.00,1220076700,0.45,12.62,0,0,10
0.0,1800.00,1220077500,0.52,7.47,7,0,0
0.0,1800.00,1220077600,0.52,7.47,5,0,2
0.0,1800.00,1220077900,0.50,8.29,0,0,7
0.0,1800.00,1220078100,0.18,6.09,2,0,0
0.0,1800.00,1220078500,0.26,13.73,0,0,6
0.0,1800.00,1220076000,0.64,7.05,0,6,8
0.0,1800.00,1220078700,0.47,8.31,0,7,7
0.0,1800.00,1220078900,0.16,7.09,0,2,2
0.0,1800.00,1220079000,1.16,13.42,0,15,28
0.0,1800.00,1220079100,2.20,4.58,3,0,15
0.0,1800.00,1220079200,1.24,1.96,0,4,5
0.0,1800.00,1220079401,0.97,7.64,0,5,13
0.0,1800.00,1220079402,0.75,7.50,2,0,8
0.0,1800.00,1220079502,1.50,6.44,7,0,10
0.0,1800.00,1220079700,0.55,7.13,7,0,0
0.0,1800.00,1220079800,1.37,6.89,17,0,0
0.0,1800.00,1220080000,2.09,2.13,0,8,8
0.0,1800.00,1220078800,0.90,7.39,12,0,0
0.0,1800.00,1220080200,1.79,2.01,0,1,6
0.0,1800.00,1220075900,0.48,8.29,0,0,7
0.0,1800.00,1220075400,0.21,10.74,0,4,4
0.0,1800.00,1220070600,0.16,6.91,2,0,0
0.0,1800.00,1220070700,0.35,6.37,4,0,0
0.0,1800.00,1220070901,0.61,7.30,8,0,0
0.0,1800.00,1220070902,0.59,7.37,5,0,3
0.0,1800.00,1220071001,0.08,7.33,0,0,1
0.0,1800.00,1220071002,0.62,5.56,0,0,6
0.0,1800.00,1220071300,0.16,7.25,0,2,2
0.0,1800.00,1220071500,0.29,7.74,0,4,4
0.0,1800.00,1220071700,0.31,3.67,0,0,2
0.0,1800.00,1220071900,0.15,7.63,0,0,2
0.0,1800.00,1220075600,0.07,8.02,0,0,1
0.0,1800.00,1220072000,0.25,8.05,1,0,3
0.0,1800.00,1220072300,0.75,7.46,6,0,4
0.0,1800.00,1220072400,0.48,8.24,0,0,7
0.0,1800.00,1220072602,9.01,2.02,34,0,0
0.0,1800.00,1220072700,0.26,6.50,3,0,0
0.0,1800.00,1220073300,0.31,7.17,4,0,0
0.0,1800.00,1220073500,0.14,8.00,0,0,2
0.0,1800.00,1220073600,0.15,7.61,2,0,0
0.0,1800.00,1220074600,0.07,8.25,0,0,1
0.0,1800.00,1220075200,1.05,7.54,0,6,14
0.0,1800.00,1220075300,1.07,7.29,9,5,5
0.0,1800.00,1220072100,0.36,9.22,5,0,1
0.0,1800.00,1220080300,0.50,2.03,0,0,2
0.0,1800.00,1220080400,0.26,6.68,0,0,3
0.0,1800.00,1220080600,0.25,2.25,1,0,0
0.0,1800.00,1220085605,0.07,7.73,0,0,1
0.0,1800.00,1220085606,0.45,6.28,4,0,1
0.0,1800.00,1220085701,0.15,7.71,0,0,2
0.0,1800.00,1220085704,0.28,6.54,0,0,3
0.0,1800.00,1220085705,0.26,6.87,0,0,3
0.0,1800.00,1220085706,0.25,6.89,0,2,3
0.0,1800.00,1220085800,1.89,7.33,0,0,24
0.0,1800.00,1220086000,0.36,7.89,0,0,5
0.0,1800.00,1220086400,0.31,7.28,0,4,4
0.0,1800.00,1220086602,0.30,7.77,0,0,4
0.0,1800.00,1220085603,0.80,7.32,2,7,8
0.0,1800.00,1220086701,0.30,7.35,4,0,0
0.0,1800.00,1220087102,0.08,7.62,0,0,1
0.0,1800.00,1220087500,0.36,7.79,5,0,0
0.0,1800.00,1220087600,0.10,5.83,1,0,0
0.0,1800.00,1220087901,0.97,7.26,2,0,10
0.0,1800.00,1220087902,0.75,7.66,0,0,10
0.0,1800.00,1220088100,0.28,8.12,0,0,5
0.0,1800.00,1220088300,1.23,12.12,2,0,24
0.0,1800.00,1220088400,0.85,6.86,11,0,0
0.0,1800.00,1220088900,0.28,7.92,0,4,4
0.0,1800.00,1220089200,0.48,6.94,6,0,0
0.0,1800.00,1220087001,0.21,8.21,0,0,3
0.0,1800.00,1220085602,0.32,7.33,0,1,4
0.0,1800.00,1220085400,0.34,6.97,0,0,4
0.0,1800.00,1220085200,0.32,7.14,0,0,4
0.0,1800.00,1220080801,0.18,9.80,0,0,3
0.0,1800.00,1220080802,1.22,9.09,20,0,0
0.0,1800.00,1220080901,1.17,9.63,0,0,20
0.0,1800.00,1220080902,1.53,7.90,1,0,20
0.0,1800.00,1220081100,0.16,7.03,0,2,2
0.0,1800.00,1220081200,0.46,8.69,0,6,7
0.0,1800.00,1220081300,0.72,9.53,0,0,12
0.0,1800.00,1220081902,0.19,6.02,0,0,2
0.0,1800.00,1220082000,0.90,6.94,0,4,11
0.0,1800.00,1220082100,0.08,7.55,0,0,1
0.0,1800.00,1220082200,0.60,6.85,0,0,7
0.0,1800.00,1220082500,0.36,7.39,5,0,0
0.0,1800.00,1220082800,1.29,7.27,0,16,17
0.0,1800.00,1220083000,0.55,7.05,7,0,0
0.0,1800.00,1220083100,1.79,2.17,7,0,0
0.0,1800.00,1220083400,0.07,7.68,0,0,1
0.0,1800.00,1220083700,4.31,0.96,0,0,7
0.0,1800.00,1220083800,1.02,6.54,12,0,0
0.0,1800.00,1220084000,0.07,8.03,0,0,1
0.0,1800.00,1220084100,1.82,7.72,0,16,24
0.0,1800.00,1220084200,0.62,6.62,0,0,7
0.0,1800.00,1220084700,0.29,7.82,0,4,4
0.0,1800.00,1220085100,1.12,6.83,0,0,13
0.0,1800.00,1220089800,0.14,7.58,2,0,0
0.0,1800.00,1220032707,0.11,10.32,0,0,2
0.0,1800.00,1220032804,1.18,13.20,0,0,27
0.0,1800.00,1220032705,0.27,12.85,0,0,6
0.0,1800.00,1220019902,2.03,15.79,0,0,57
0.0,1800.00,1220020600,3.21,6.83,0,0,40
0.0,1800.00,1220020700,1.32,14.41,0,0,34
0.0,1800.00,1220020801,2.18,12.35,0,1,47
0.0,1800.00,1220020802,1.91,15.49,4,0,48
0.0,1800.00,1220020803,1.74,15.60,0,0,48
0.0,1800.00,1220020901,1.24,15.76,0,0,34
0.0,1800.00,1220020902,1.40,15.59,0,0,38
0.0,1800.00,1220020903,1.09,16.12,0,0,31
0.0,1800.00,1220021001,4.64,1.96,0,0,16
0.0,1800.00,1220019901,2.12,14.36,0,3,53
0.0,1800.00,1220021002,1.07,12.73,0,8,24
0.0,1800.00,1220021101,2.16,12.64,0,0,48
0.0,1800.00,1220021102,2.12,12.76,0,0,48
0.0,1800.00,1220021103,4.07,5.43,0,0,39
0.0,1800.00,1220021202,0.11,10.18,0,0,2
0.0,1800.00,1220021203,0.08,14.96,0,0,2
0.0,1800.00,1220021301,0.30,15.21,0,0,8
0.0,1800.00,1220021401,1.56,16.17,0,0,43
0.0,1800.00,1220021402,1.90,15.28,0,0,49
0.0,1800.00,1220021403,1.50,16.42,0,0,43
0.0,1800.00,1220021404,1.78,16.06,0,0,51
0.0,1800.00,1220021003,0.70,12.94,0,0,16
0.0,1800.00,1220021501,2.04,15.25,0,1,53
0.0,1800.00,1220019802,2.19,15.53,0,1,60
0.0,1800.00,1220019502,4.26,3.77,3,10,26
0.0,1800.00,1220017700,0.25,8.97,4,0,0
0.0,1800.00,1220018404,1.54,16.10,2,0,42
0.0,1800.00,1220018405,1.71,16.41,0,3,37
0.0,1800.00,1220018406,1.53,15.77,0,0,42
0.0,1800.00,1220018407,1.01,13.95,7,0,18
0.0,1800.00,1220018408,1.47,14.57,0,0,37
0.0,1800.00,1220018503,1.48,15.66,0,0,42
0.0,1800.00,1220018505,0.43,16.01,0,0,12
0.0,1800.00,1220018506,0.51,16.23,0,0,11
0.0,1800.00,1220018507,0.39,16.22,0,7,11
0.0,1800.00,1220019801,2.29,14.85,0,0,59
0.0,1800.00,1220018508,1.60,3.88,0,4,11
0.0,1800.00,1220019003,1.68,16.20,0,0,48
0.0,1800.00,1220019004,2.05,12.88,0,0,46
0.0,1800.00,1220019102,2.72,12.67,0,0,60
0.0,1800.00,1220019103,1.51,14.41,5,2,33
0.0,1800.00,1220019104,1.37,15.75,0,2,38
0.0,1800.00,1220019200,0.33,13.45,0,0,8
0.0,1800.00,1220019300,0.14,12.13,0,0,3
0.0,1800.00,1220019401,4.54,3.66,0,0,29
0.0,1800.00,1220019402,1.46,14.95,0,2,39
0.0,1800.00,1220019501,1.03,14.28,7,0,19
0.0,1800.00,1220019002,1.74,15.85,0,0,48
0.0,1800.00,1220021502,2.03,15.79,0,0,55
0.0,1800.00,1220021503,1.85,16.47,0,0,53
0.0,1800.00,1220021504,2.03,16.23,0,1,58
0.0,1800.00,1220023203,0.56,16.44,0,0,16
0.0,1800.00,1220023204,3.02,3.31,0,0,17
0.0,1800.00,1220023302,1.18,8.01,15,1,2
0.0,1800.00,1220023402,1.57,8.26,0,4,23
0.0,1800.00,1220023801,0.97,12.79,0,0,22
0.0,1800.00,1220023802,1.23,10.06,0,0,22
0.0,1800.00,1220023901,0.58,15.70,0,1,16
0.0,1800.00,1220023902,2.10,6.96,6,0,21
0.0,1800.00,1220024001,0.59,9.49,6,0,4
0.0,1800.00,1220024002,0.19,12.32,0,0,4
0.0,1800.00,1220023202,0.52,16.44,0,0,15
0.0,1800.00,1220024003,0.48,11.99,0,0,10
0.0,1800.00,1220024102,1.34,12.82,0,0,30
0.0,1800.00,1220024103,6.41,2.80,0,0,31
0.0,1800.00,1220024203,1.53,12.69,5,0,29
0.0,1800.00,1220024204,0.99,15.39,0,0,27
0.0,1800.00,1220024205,0.98,16.24,0,1,28
0.0,1800.00,1220024302,0.17,12.94,2,0,2
0.0,1800.00,1220024304,0.07,15.54,0,0,2
0.0,1800.00,1220032706,0.09,13.04,0,0,2
0.0,1800.00,1220024601,2.34,16.01,0,0,67
0.0,1800.00,1220024602,2.48,15.27,0,0,66
0.0,1800.00,1220024101,1.15,11.93,0,0,25
0.0,1800.00,1220023201,0.73,14.81,2,0,17
0.0,1800.00,1220023104,0.57,14.60,0,0,14
